,category,term,tf_idf
628,Электроника,11300h,0.0001584121149759833
629,Автотовары,113121,0.00016926238048164914
630,Электроника,1135g7,0.0001584121149759833
631,Дом,113х198см,0.00016050835289558324
632,Для ремонта,113х217,0.00032183112449507643
633,Красота,114,0.00021127111742988953
634,Автотовары,1140,0.00016926238048164914
635,Автотовары,11473734,0.00016926238048164914
636,Красота,114см,0.00010563555871494477
637,Бытовая техника,115,0.0010443886484670336
638,Сад и дача,115,0.00041203331509592056
639,Электроника,115,0.0002588419912487953
640,Ювелирные изделия,115,0.00010767714783139821
641,Здоровье,11522,0.0001930701019546847
642,Красота,115г,0.00010563555871494477
643,Ювелирные изделия,115гр,0.00019769626218983267
644,Игрушки,115см,9.93092095679102e-05
645,Игрушки,115х18х25,9.93092095679102e-05
646,Автотовары,116109,0.00016926238048164914
647,Автотовары,116h,0.00016926238048164914
648,Сад и дача,116х45,0.0011347455973624387
649,Для ремонта,117,0.0006436622489901529
650,Автотовары,118,0.00026145274444470756
651,Игрушки,118,7.669945712768627e-05
652,Игрушки,118х137,9.93092095679102e-05
653,Здоровье,118х235,0.0001930701019546847
654,Автотовары,119,0.00013072637222235378
